Rank,Address,Balance_BC2
1,bc1q725xyhn3zf7rqa69erchzl6nezganff37r3fns,261209.88508729
2,bc1qccnr7rlypmfvjn4gfpje8r4wmgydhtahk4jrh2,203832.26556493
3,bc1qagp42yzrnkprdx4adl93egafr8kptc7pq869k9,109039.99999718
4,bc1qzph04kz3t6nf863guywv4fs7e9tvvmtz7tmqs2,66954.0
5,1MT2pSUBH3AyzXE8rcqKp7c9AHtuXU5XWK,53171.9055
6,bc1qcfd5ahxrf74yv4kzy8kwjkevv0md9vrx5q5dkf,52869.94107512
7,bc1qzerlrqyyuhx6ykq7ntg65nsewnxm0teaueguun,41424.7593
8,39hAf4goR27GEkfEPdCJvnCgE2YwBgrnyL,41000.0000095
9,bc1ql06eul06t3y8nn39huhr6plh4294y8n0dv2wm0,37426.97364538
10,bc1qge47qyhju76ndvfftptj379g9mmrzaflxdur4p,31368.0413
11,1L7QWnkjEgSJaBWbpMJLPhU4pq2TtFfw8N,31049.01202353
12,bc1qvgcmd2qw62pswjda3mjufy258w4qr6zw5wfssm,28935.41899724
13,bc1q83r8ky9w40emaa5pmxf2wq5xuv3a5fjk36s8rp,28746.48091508
14,bc1qenen7s0s3d678e776rp65duk7n2h4rjjvnewz5,28010.79372
15,1BZy4zhMPGJEn6EHwurbiJcWoKpQ62jTHv,27471.94976602
16,bc1qxcae2y4m8y68w8zyd2af7dss4a8cuvnf3249px,26885.89372027
17,bc1qty3qqjyy6uq58krugv46a0zn7ztf272q79my2k,26349.52333417
18,bc1qc5ncw2v90t8um8usayy4kvlrjvsf3ghet8wyxa,24608.787779
19,bc1qv5ufu9c8gdzcqtek3yzkuk354qekacgqefw6zh,24326.28669298
20,bc1q5mxrnq2vt4l6y62xpsjpzmp7vh4d88g2083fmr,23205.0
21,bc1qs3s6fttlkha4c05jv543zgcyqaj755qe9st44z,22504.78794296
22,bc1q6um58ywusrnp9eh0t04mewczqkap4cccghjwmm,22199.9913
23,bc1qdmklqfae0n8nu6233cdhp3rm0qy470rete74er,21005.1015
24,bc1qj5all5l9726symvzjs7fnd3pf0eu05r3pecef3,21000.0
25,bc1qenhmga2qvvgky3fkmpkzfyhwy9s0hvae0cxjwy,20738.61979812
26,bc1q78n9gmnuz2y7yhv4hd8x6apqhmw7gv7r3eruwh,20234.47200335
27,bc1qfvzazmpxrk29etejcuhfmht2edzzvauut4f9ce,20039.50296396
28,bc1qjgpprx2ddsm69w7uy70nscp7pfkzyl0tx34ytf,19312.85617968
29,bc1q6awf4nu5887jwpyf05t4vm0w2epfk48uv629sp,18600.88918464
30,bc1q3p6m7znlw2xvtnq8920kg5xmjrav2xgn695ncy,17367.48409617
31,bc1qmmmec3tnwmzk67d7wlz8dgxh0mq95hu29jt95m,16750.66274891
32,bc1q9xv6zgyd9jc3u33tlh3qamuvdgeqlljyapschv,16696.33700604
33,bc1qktxz4s2q8s3fnwzwzx8x9r4errhktjnxpg3xcm,15443.54073832
34,bc1q9sxkyvydxjt5r4g9j4l98aryckyq8sc56f7ezy,15010.39458439
35,bc1qkveq8nt59tgyg54u4qwhe6gx7t8f696hvn3rz0,15001.99999771
